,Course Name,Credits,Time,Days,Location,Instructor
92,Computing & Society - 32616 - CS 3001 - B,"
",2:00 pm - 2:50 pm,MW,Paper Tricentennial 109,Blair   MacIntyre (P)
93,Computing & Society - 32631 - CS 3001 - B01,"
",3:30 pm - 5:25 pm,R,Howey Physics L4,Blair   MacIntyre (P)
94,Computing & Society - 33241 - CS 3001 - B02,"
",8:25 am - 10:20 am,R,Clough UG Learning Commons 150,Blair   MacIntyre (P)
95,Computing & Society - 33242 - CS 3001 - B03,"
",8:25 am - 10:20 am,F,Van Leer E361,Blair   MacIntyre (P)
96,Computing & Society - 33243 - CS 3001 - B04,"
",8:25 am - 10:20 am,F,Ford Environmental Sci & Tech L1118,Blair   MacIntyre (P)
97,Computing & Society - 33244 - CS 3001 - B05,"
",8:25 am - 10:20 am,R,Molecular Sciences and Engr 1201A,Blair   MacIntyre (P)
98,Computing & Society - 33245 - CS 3001 - B06,"
",3:30 pm - 5:25 pm,R,Howey Physics S105A,Blair   MacIntyre (P)
99,Computing & Society - 33246 - CS 3001 - B07,"
",5:00 pm - 6:55 pm,R,Clough UG Learning Commons 123,Blair   MacIntyre (P)
100,Computing & Society - 33247 - CS 3001 - B08,"
",5:00 pm - 6:55 pm,R,Clough UG Learning Commons 423,Blair   MacIntyre (P)
101,Computing & Society - 33248 - CS 3001 - B09,"
",3:30 pm - 5:25 pm,R,Ford Environmental Sci & Tech L1125,Blair   MacIntyre (P)
102,Computing & Society - 33249 - CS 3001 - B10,"
",3:30 pm - 5:25 pm,R,D.M. Smith 304,Blair   MacIntyre (P)
103,Computing & Society - 33250 - CS 3001 - B11,"
",8:25 am - 10:20 am,F,Clough UG Learning Commons 146,Blair   MacIntyre (P)
104,Computing & Society - 33251 - CS 3001 - B12,"
",8:25 am - 10:20 am,F,Clough UG Learning Commons 150,Blair   MacIntyre (P)
105,Computing & Society - 33252 - CS 3001 - B13,"
",12:30 pm - 2:25 pm,F,Clough UG Learning Commons 125,Blair   MacIntyre (P)
106,Computing & Society - 33253 - CS 3001 - B14,"
",12:30 pm - 2:25 pm,F,Skiles 256,Blair   MacIntyre (P)
107,Computing & Society - 33254 - CS 3001 - B15,"
",3:30 pm - 5:25 pm,F,Clough UG Learning Commons 125,Blair   MacIntyre (P)
108,Computing & Society - 33255 - CS 3001 - B16,"
",5:00 pm - 6:55 pm,W,Ford Environmental Sci & Tech L1118,Blair   MacIntyre (P)
109,Computing & Society - 33256 - CS 3001 - B17,"
",5:00 pm - 6:55 pm,R,Manufacture Rel Discip Complex 2405,Blair   MacIntyre (P)
110,Computing & Society - 33257 - CS 3001 - B18,"
",5:00 pm - 6:55 pm,R,Manufacture Rel Discip Complex 3403,Blair   MacIntyre (P)
111,Computing & Society - 33258 - CS 3001 - B19,"
",5:00 pm - 6:55 pm,R,Skiles 170,Blair   MacIntyre (P)
112,Computing & Society - 33259 - CS 3001 - B20,"
",3:30 pm - 5:25 pm,F,Molecular Sciences and Engr 1201A,Blair   MacIntyre (P)
113,Computing & Society - 32617 - CS 3001 - C,"
",3:30 pm - 4:20 pm,MW,Instructional Center 103,Munmun   De Choudhury (P)
114,Computing & Society - 32632 - CS 3001 - C01,"
",3:30 pm - 5:25 pm,R,Howey Physics S107,Munmun   De Choudhury (P)
115,Computing & Society - 33260 - CS 3001 - C02,"
",3:30 pm - 5:25 pm,R,Molecular Sciences and Engr 1201A,Munmun   De Choudhury (P)
116,Computing & Society - 33261 - CS 3001 - C03,"
",3:30 pm - 5:25 pm,R,Molecular Sciences and Engr 1222,Munmun   De Choudhury (P)
117,Computing & Society - 33262 - CS 3001 - C04,"
",5:00 pm - 6:55 pm,R,Molecular Sciences and Engr G021,Munmun   De Choudhury (P)
118,Computing & Society - 33263 - CS 3001 - C05,"
",5:00 pm - 6:55 pm,R,Skiles 256,Munmun   De Choudhury (P)
119,Computing & Society - 33264 - CS 3001 - C06,"
",3:30 pm - 5:25 pm,R,Engineering Sci and Mechanics 202,Munmun   De Choudhury (P)
120,Computing & Society - 33265 - CS 3001 - C07,"
",8:25 am - 10:20 am,R,Skiles 256,Munmun   De Choudhury (P)
121,Computing & Society - 33266 - CS 3001 - C08,"
",12:30 pm - 2:25 pm,R,D.M. Smith 304,Munmun   De Choudhury (P)
122,Computing & Society - 33267 - CS 3001 - C09,"
",5:00 pm - 6:55 pm,R,West Architecture 260,Munmun   De Choudhury (P)
123,Computing & Society - 33269 - CS 3001 - C10,"
",8:25 am - 10:20 am,F,Clough UG Learning Commons 131,Munmun   De Choudhury (P)
124,Computing & Society - 33268 - CS 3001 - C11,"
",3:30 pm - 5:25 pm,F,Molecular Sciences and Engr 1222,Munmun   De Choudhury (P)
125,Computing & Society - 33270 - CS 3001 - C12,"
",3:30 pm - 5:25 pm,F,Molecular Sciences and Engr 1224,Munmun   De Choudhury (P)
126,Computing & Society - 33271 - CS 3001 - C13,"
",5:00 pm - 6:55 pm,R,Skiles 171,Munmun   De Choudhury (P)
127,Computing & Society - 33272 - CS 3001 - C14,"
",5:00 pm - 6:55 pm,R,Skiles 246,Munmun   De Choudhury (P)
128,Computing & Society - 33273 - CS 3001 - C15,"
",5:00 pm - 6:55 pm,R,Skiles 257,Munmun   De Choudhury (P)
129,Computing & Society - 33274 - CS 3001 - C16,"
",5:00 pm - 6:55 pm,R,Skiles 269,Munmun   De Choudhury (P)
130,Computing & Society - 33275 - CS 3001 - C17,"
",5:00 pm - 6:55 pm,R,Skiles 270,Munmun   De Choudhury (P)
131,Computing & Society - 33276 - CS 3001 - C18,"
",5:00 pm - 6:55 pm,R,Skiles 271,Munmun   De Choudhury (P)
132,Computing & Society - 33277 - CS 3001 - C19,"
",5:00 pm - 6:55 pm,R,Skiles 371,Munmun   De Choudhury (P)
133,Computing & Society - 33278 - CS 3001 - C20,"
",12:30 pm - 2:25 pm,F,Clough UG Learning Commons 131,Munmun   De Choudhury (P)
134,Design-Operating Systems - 27660 - CS 3210 - A,"
       3.000 Credits
",2:00 pm - 3:15 pm,TR,Klaus Advanced Computing 1456,Alexey   Tumanov (P)
135,Design-Operating Systems - 27661 - CS 3210 - GR,"
       3.000 Credits
",2:00 pm - 3:15 pm,TR,Klaus Advanced Computing 1456,Alexey   Tumanov (P)
136,Processor Design - 24754 - CS 3220 - A,"
       3.000 Credits
",2:00 pm - 3:15 pm,MW,Klaus Advanced Computing 1456,Hyesoon   Kim (P)
137,Computer Networking I - 20208 - CS 3251 - A,"
       3.000 Credits
",2:00 pm - 3:15 pm,TR,Scheller College of Business 200,Jun   Xu (P)
138,Computer Networking I - 28762 - CS 3251 - B,"
       3.000 Credits
",3:30 pm - 4:45 pm,MW,Scheller College of Business 200,Ashutosh Makrand  Dhekne (P)
139,Computer Graphics - 21974 - CS 3451 - A,"
       3.000 Credits
",3:30 pm - 4:20 pm,MWF,Scheller College of Business 100,Greg   Turk (P)
140,Dsgn&Analysis-Algorithms - 21391 - CS 3510 - A,"
       3.000 Credits
",12:30 pm - 1:45 pm,TR,College of Computing 16,Dana   Randall (P)
141,Dsgn&Analysis-Algorithms - 29838 - CS 3510 - B,"
       3.000 Credits
",9:30 am - 10:45 am,TR,Instructional Center 103,Gerandy   Brito (P)
142,Algorithms Honors - 31161 - CS 3511 - A,"L 
",9:30 am - 10:45 am,MW,Klaus Advanced Computing 2447,Prasad   Tetali (P)
143,Intro-Artificial Intell - 21601 - CS 3600 - A,"
       3.000 Credits
",2:00 pm - 2:50 pm,MWF,Scheller College of Business 100,James Matthew  Rehg (P)
144,Intro-Perception&Robotic - 26340 - CS 3630 - A,"
       3.000 Credits
",3:30 pm - 4:45 pm,MW,Klaus Advanced Computing 1443,Seth Andrew  Hutchinson (P)
145,Prototyping Intelligent Device - 28674 - CS 3651 - A,"L 
",2:00 pm - 3:15 pm,TR,College of Computing 337,Thad E.  Starner (P)
146,Mangn Prod Serv Tech Dev - 31083 - CS 3744 - TM,"L 
",5:00 pm - 6:15 pm,MW,Scheller College of Business 224,Karthik   Ramachandran (P)
147,Intro-Cognitive Science - 27177 - CS 3790 - A,"
       3.000 Credits
",3:30 pm - 4:45 pm,MW,Howey Physics L4,Sashank   Varma (P)
148,Special Topics - 29349 - CS 3873 - H,"L 
",12:30 pm - 1:20 pm,MW,Paper Tricentennial 109,"Maribeth Gandy  Coleman (P), Charles Clinton  Zeagler "
149,Special Topics - 29350 - CS 3873 - H01,"
",3:30 pm - 5:25 pm,W,West Architecture 258,"Maribeth Gandy  Coleman (P), Charles Clinton  Zeagler "
150,Special Topics - 29351 - CS 3873 - H02,"
",3:30 pm - 5:25 pm,W,Howey Physics S105A,"Maribeth Gandy  Coleman (P), Charles Clinton  Zeagler "
151,Special Topics - 29352 - CS 3873 - H03,"
",3:30 pm - 5:25 pm,R,Ford Environmental Sci & Tech L1175,"Maribeth Gandy  Coleman (P), Charles Clinton  Zeagler "
152,Special Topics - 29353 - CS 3873 - H05,"
",5:00 pm - 6:55 pm,R,College of Computing 52,"Maribeth Gandy  Coleman (P), Charles Clinton  Zeagler "
153,Special Topics - 29354 - CS 3873 - H06,"
",5:00 pm - 6:55 pm,W,College of Computing 53,"Maribeth Gandy  Coleman (P), Charles Clinton  Zeagler "
154,Special Topics - 29355 - CS 3873 - H07,"
",5:00 pm - 6:55 pm,T,College of Computing 53,"Maribeth Gandy  Coleman (P), Charles Clinton  Zeagler "
155,Special Topics - 29356 - CS 3873 - H08,"
",5:00 pm - 6:55 pm,W,College of Computing 52,"Maribeth Gandy  Coleman (P), Charles Clinton  Zeagler "
156,Robots and Society - 30499 - CS 4002 - A,"
       3.000 Credits
",9:30 am - 10:45 am,TR,Kendeda 210,Ronald Craig  Arkin (P)
157,Robots and Society - 30500 - CS 4002 - B,"
       3.000 Credits
",12:30 pm - 1:45 pm,TR,Mason 5134,Ronald Craig  Arkin (P)
158,Intro to Computer Law - 29260 - CS 4010 - A,"
       3.000 Credits
",12:30 pm - 1:45 pm,TR,Van Leer E283,"Olufisayo A  Omojokun (P), Laura Susan  Huffman "
159,Adv Operating Systems - 22550 - CS 4210 - A,"
       3.000 Credits
",11:00 am - 11:50 am,MWF,Instructional Center 215,Ada   Gavrilovska (P)
160,Intro to Info Security - 21153 - CS 4235 - A,"
       3.000 Credits
",5:00 pm - 6:15 pm,TR,Scheller College of Business 100,Paul James  Pearce (P)
161,Compilers & Interpreters - 30902 - CS 4240 - A,"
       3.000 Credits
",3:30 pm - 4:45 pm,MW,Klaus Advanced Computing 1447,Qirun   Zhang (P)
162,Mobile Apps & Svcs - 22851 - CS 4261 - A,"L 
",12:30 pm - 1:45 pm,MW,Weber SST III 2,"Russell Jack  Clark (P), Matthew James  Sanders "
163,Advanced Computer Org - 22557 - CS 4290 - A,"
       3.000 Credits
",12:30 pm - 1:45 pm,TR,Klaus Advanced Computing 1443,Thomas Martin  Conte (P)
164,Intro Enterprise Comp - 30812 - CS 4365 - A,"
       3.000 Credits
",12:30 pm - 1:45 pm,TR,Klaus Advanced Computing 1456,Calton   Pu (P)
165,Intr to Database Systems - 20210 - CS 4400 - A,"
       3.000 Credits
",3:30 pm - 4:45 pm,TR,Howey Physics L1,Mark Bomi  Moss (P)
166,Intr to Database Systems - 20209 - CS 4400 - B,"
       3.000 Credits
",2:00 pm - 3:15 pm,TR,Howey Physics L1,Mark Bomi  Moss (P)
167,Intr to Database Systems - 31394 - CS 4400 - X,"
       3.000 Credits
",3:30 pm - 4:45 pm,MW,Whitaker 1103,Xu   Chu (P)
168,Video Game Design - 21048 - CS 4455 - A,"
       3.000 Credits
",9:30 am - 10:45 am,MW,Mason 1133,Jeffrey Brian  Wilson (P)
169,Design of Online Comm - 29734 - CS 4472 - A,"L 
",12:30 pm - 1:45 pm,TR,Kendeda 210,Amy S  Bruckman (P)
170,Comp Photography - 30796 - CS 4475 - C,"
       3.000 Credits
",5:00 pm - 6:15 pm,MW,College of Computing 102,Irfan   Essa (P)
171,Intro to Computer Vision - 27663 - CS 4476 - A,"L 
",12:30 pm - 1:45 pm,TR,Howey Physics L1,Judy   Hoffman (P)
172,Intro to Computer Vision - 33394 - CS 4476 - B,"
",3:30 pm - 4:45 pm,TR,Clough UG Learning Commons 152,James Henry  Hays (P)
173,Comp Aesthetics - 33418 - CS 4497 - A,"
",3:30 pm - 4:45 pm,TR,Scheller College of Business 200,Jaroslaw R  Rossignac (P)
174,Automata and Complexity - 24278 - CS 4510 - A,"
       3.000 Credits
",12:30 pm - 1:45 pm,TR,Howey Physics L4,Frederic Struna  Faulkner (P)
175,Automata and Complexity - 31630 - CS 4510 - X,"
       3.000 Credits
",12:30 pm - 1:45 pm,TR,College of Computing 53,Zvi   Galil (P)
176,Advanced Algs - 22852 - CS 4540 - A,"L 
",3:30 pm - 4:45 pm,TR,College of Computing 16,Gerandy   Brito (P)
177,Computer Audio - 24985 - CS 4590 - A,"
       3.000 Credits
",2:00 pm - 3:15 pm,TR,Manufacture Rel Discip Complex 2404,Maribeth Gandy  Coleman (P)
178,Mobile&Ubiquitous Comp - 26289 - CS 4605 - A,"
       3.000 Credits
",9:30 am - 10:45 am,TR,College of Computing 17,Thomas   Ploetz (P)
